    IMT         m1        vlin           b           c          c4          a1          a2          a3          a4          a5          a6          a7          a8         a10         a11         a12         a13         a14         a15         a17         a43         a44         a45         a46         a25         a28         a29         a31         a36         a37         a38         a39         a40         a41         a42         s1e         s2e          s3          s4         s1m         s2m          s5          s6
    pgv   6.750000  330.000000   -2.020000 2400.000000    4.500000    5.488571   -0.919000    0.275000   -0.100000   -0.410000    2.366000    0.000000   -0.094000    2.276115    0.000000   -0.100000    0.250000    0.220000    0.300000   -0.000500    0.280000    0.150000    0.090000    0.070000   -0.000100    0.000500   -0.003700   -0.146200    0.377000    0.212000    0.157000    0.000000    0.095000   -0.038000    0.065000    0.662000    0.510000    0.380000    0.380000    0.660000    0.510000    0.580000    0.530000
    pga   6.750000  660.000000   -1.470000    2.400000    4.500000    0.096076   -0.790000    0.275000   -0.100000   -0.410000    2.154000    0.000000   -0.015000    1.544800    0.000000   -0.100000    0.600000   -0.300000    1.100000   -0.007200    0.100000    0.050000    0.000000   -0.050000   -0.001500    0.002500   -0.003400   -0.150300    0.265000    0.337000    0.188000    0.000000    0.088000   -0.196000    0.044000    0.754000    0.520000    0.470000    0.360000    0.741000    0.501000    0.540000    0.630000
  0.010   6.750000  660.000000   -1.470000    2.400000    4.500000    0.096076   -0.790000    0.275000   -0.100000   -0.410000    2.154000    0.000000   -0.015000    1.544800    0.000000   -0.100000    0.600000   -0.300000    1.100000   -0.007200    0.100000    0.050000    0.000000   -0.050000   -0.001500    0.002500   -0.003400   -0.150300    0.265000    0.337000    0.188000    0.000000    0.088000   -0.196000    0.044000    0.754000    0.520000    0.470000    0.360000    0.741000    0.501000    0.540000    0.630000
  0.020   6.750000  680.000000   -1.460000    2.400000    4.500000    0.143128   -0.790000    0.275000   -0.100000   -0.410000    2.146000    0.000000   -0.015000    1.485224    0.000000   -0.100000    0.600000   -0.300000    1.100000   -0.007300    0.100000    0.050000    0.000000   -0.050000   -0.001500    0.002400   -0.003300   -0.147900    0.255000    0.328000    0.184000    0.000000    0.088000   -0.194000    0.061000    0.760000    0.520000    0.470000    0.360000    0.747000    0.501000    0.540000    0.630000
  0.030   6.750000  770.000000   -1.390000    2.400000    4.500000    0.183180   -0.790000    0.275000   -0.100000   -0.410000    2.157000    0.000000   -0.015000    1.425649    0.000000   -0.100000    0.600000   -0.300000    1.100000   -0.007500    0.100000    0.050000    0.000000   -0.050000   -0.001600    0.002300   -0.003400   -0.144700    0.249000    0.320000    0.180000    0.000000    0.093000   -0.175000    0.162000    0.781000    0.520000    0.470000    0.360000    0.769000    0.501000    0.550000    0.630000
  0.050   6.750000  915.000000   -1.220000    2.400000    4.500000    0.360284   -0.790000    0.275000   -0.100000   -0.410000    2.085000    0.000000   -0.015000    1.306497    0.000000   -0.100000    0.600000   -0.300000    1.100000   -0.008000    0.100000    0.050000    0.000000   -0.050000   -0.002000    0.002700   -0.003300   -0.132600    0.202000    0.289000    0.167000    0.000000    0.133000   -0.090000    0.451000    0.810000    0.530000    0.470000    0.360000    0.798000    0.512000    0.560000    0.650000
  0.075   6.750000  960.000000   -1.150000    2.400000    4.500000    0.716414   -0.790000    0.275000   -0.100000   -0.410000    2.029000    0.000000   -0.015000    1.157558    0.000000   -0.100000    0.600000   -0.300000    1.100000   -0.008900    0.100000    0.050000    0.000000   -0.050000   -0.002700    0.003200   -0.002900   -0.135300    0.126000    0.275000    0.173000    0.000000    0.186000    0.090000    0.506000    0.810000    0.540000    0.470000    0.360000    0.798000    0.522000    0.570000    0.690000
  0.100   6.750000  910.000000   -1.230000    2.400000    4.500000    0.981862   -0.790000    0.275000   -0.100000   -0.410000    2.041000    0.000000   -0.015000    1.289668    0.000000   -0.100000    0.600000   -0.300000    1.100000   -0.009500    0.100000    0.050000    0.000000   -0.050000   -0.003300    0.003600   -0.002500   -0.112800    0.022000    0.256000    0.189000    0.000000    0.160000    0.006000    0.335000    0.810000    0.550000    0.470000    0.360000    0.795000    0.527000    0.570000    0.700000
  0.150   6.750000  740.000000   -1.590000    2.400000    4.500000    1.283376   -0.790000    0.275000   -0.100000   -0.410000    2.121000    0.000000   -0.022000    1.647865    0.000000   -0.100000    0.600000   -0.300000    1.100000   -0.009500    0.100000    0.050000    0.000000   -0.050000   -0.003500    0.003300   -0.002500    0.038300   -0.136000    0.162000    0.108000    0.000000    0.068000   -0.156000   -0.084000    0.801000    0.560000    0.470000    0.360000    0.773000    0.519000    0.580000    0.700000
  0.200   6.750000  590.000000   -2.010000    2.400000    4.500000    1.480195   -0.790000    0.275000   -0.100000   -0.410000    2.224000    0.000000   -0.030000    2.208458    0.000000   -0.100000    0.600000   -0.300000    1.100000   -0.008600    0.100000    0.050000    0.000000   -0.030000   -0.003300    0.002700   -0.003100    0.077500   -0.078000    0.224000    0.115000    0.000000    0.048000   -0.274000   -0.178000    0.789000    0.565000    0.470000    0.360000    0.753000    0.514000    0.590000    0.700000
