    IMT        c1i        vlin           b          a1          a2          a6          a7          a8         a10         a11         a12         a13         a14         a16         a17         a18         a19         a20         a21         a22         a23         a24         a25         a26         a27         a28         a29         a30         a31         a32         a33         a34         a35         a36         a37         a39         a41  USA-AK_Adj     CAS_Adj          d1          d2        rhoW        rhoB  phi_s2s_g1  phi_s2s_g2  phi_s2s_g3          e1          e2          e3
    pga   8.200000  865.100000   -1.186000    4.096000   -1.450000   -0.004300    3.210000    0.044000    3.210000    0.007000    0.676590    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.040000    0.040000    0.000000    0.001500    0.000700    0.003600   -0.000400    0.002500    0.000600    0.003300    3.778300    3.346800    3.802500    5.036100    4.627200    4.804400    3.566900    0.000000   -0.029000    0.487000    0.828000    0.325000    0.137000    1.000000    1.000000    0.396000    0.396000    0.545000    0.550000   -0.270000    0.050000
  0.010   8.200000  865.100000   -1.186000    4.096000   -1.450000   -0.004300    3.210000    0.044000    3.210000    0.007000    0.676590    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.040000    0.040000    0.000000    0.001500    0.000700    0.003600   -0.000400    0.002500    0.000600    0.003300    3.778300    3.346800    3.802500    5.036100    4.627200    4.804400    3.566900    0.000000   -0.029000    0.487000    0.828000    0.325000    0.137000    1.000000    1.000000    0.396000    0.396000    0.545000    0.550000   -0.270000    0.050000
  0.020   8.200000  865.100000   -1.219000    4.178000   -1.450000   -0.004300    3.210000    0.044000    3.210000    0.007000    0.737613    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.040000    0.040000    0.000000    0.001500    0.000600    0.003600   -0.000500    0.002500    0.000500    0.003300    3.828100    3.440100    3.905300    5.137500    4.695800    4.894300    3.642500    0.000000   -0.024000    0.519000    0.825000    0.325000    0.137000    0.990000    0.990000    0.396000    0.396000    0.545000    0.550000   -0.270000    0.050000
  0.030   8.200000  907.800000   -1.273000    4.273000   -1.450000   -0.004400    3.210000    0.044000    3.210000    0.007000    0.798636    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.040000    0.040000    0.000000    0.001500    0.000600    0.003700   -0.000700    0.002500    0.000500    0.003400    3.893300    3.508700    4.018900    5.269900    4.780900    5.002800    3.706300    0.000000   -0.034000    0.543000    0.834000    0.325000    0.137000    0.990000    0.990000    0.396000    0.396000    0.545000    0.550000   -0.270000    0.050000
  0.050   8.200000 1053.500000   -1.346000    4.529000   -1.450000   -0.004600    3.210000    0.044000    3.210000    0.007000    0.920681    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.040000    0.040000    0.000000    0.001100    0.000600    0.003900   -0.000900    0.002600    0.000400    0.003600    4.286700    3.655300    4.295200    5.615700    5.021100    5.281900    3.918400    0.000000   -0.061000    0.435000    0.895000    0.325000    0.137000    0.970000    0.985000    0.396000    0.467000    0.644000    0.560000   -0.270000    0.050000
  0.075   8.200000 1085.700000   -1.471000    4.834000   -1.450000   -0.004700    3.210000    0.044000    3.210000    0.007000    1.073238    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.060000    0.060000    0.000000    0.001100    0.000400    0.003900   -0.000900    0.002600    0.000300    0.003700    4.594000    3.979900    4.546400    6.020400    5.347400    5.612300    4.220700    0.000000   -0.076000    0.410000    0.863000    0.325000    0.137000    0.950000    0.980000    0.396000    0.516000    0.713000    0.580000   -0.270000    0.050000
  0.100   8.200000 1032.500000   -1.624000    4.955000   -1.450000   -0.004800    3.210000    0.044000    3.210000    0.007000    1.286626    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.100000    0.100000    0.000000    0.001200    0.000300    0.003900   -0.000800    0.002600    0.000300    0.003800    4.707700    4.131200    4.613800    6.162500    5.506500    5.766800    4.353600    0.000000   -0.049000    0.397000    0.842000    0.325000    0.137000    0.920000    0.970000    0.396000    0.516000    0.713000    0.590000   -0.270000    0.050000
  0.150   8.200000  877.600000   -1.931000    4.935643   -1.425000   -0.004700    3.210000    0.044000    3.210000    0.007000    1.362409    0.000000   -0.460000    0.090000    0.000000   -0.186000    0.000000   -0.055000    0.135000    0.135000    0.069000    0.001300   -0.000200    0.003700   -0.000900    0.002200    0.000100    0.003700    4.606500    4.273700    4.529000    5.961400    5.518000    5.731300    4.366400    0.000000   -0.026000    0.428000    0.737000    0.325000    0.137000    0.900000    0.960000    0.396000    0.516000    0.647000    0.590000   -0.270000    0.050000
  0.200   8.200000  748.200000   -2.188000    4.436000   -1.335000   -0.004500    3.210000    0.043000    3.210000    0.006200    1.546104    0.000000   -0.460000    0.084000    0.000000   -0.150000    0.000000   -0.105000    0.170000    0.170000    0.140000    0.001300   -0.000700    0.003100   -0.001000    0.001800   -0.000100    0.003500    4.186600    3.965000    4.165600    5.392000    5.166800    5.294300    4.016900    0.000000   -0.011000    0.442000    0.746000    0.325000    0.137000    0.870000    0.940000    0.396000    0.516000    0.596000    0.570000   -0.270000    0.050000
  0.250   8.200000  654.300000   -2.381000    4.136000   -1.275000   -0.004300    3.210000    0.042000    3.210000    0.005600    1.710447    0.000000   -0.460000    0.080000    0.000000   -0.140000    0.000000   -0.134000    0.170000    0.170000    0.164000    0.001300   -0.000900    0.002700   -0.001100    0.001600   -0.000300    0.003300    3.851500    3.682100    3.914700    5.011700    4.874400    5.005800    3.759000    0.101000   -0.009000    0.494000    0.796000    0.325000    0.137000    0.840000    0.930000    0.396000    0.501000    0.539000    0.530000   -0.224000    0.043000
