    IMT        c1i          a1          a2          a6          a7          a8         a10         a11         a12         a13         a14         a16         a17         a18         a19         a20         a21         a22         a23         a24         a25         a26         a27         a28         a29         a30         a31         a32         a33         a34         a35         a36         a37         a39         a41          d1          d2        rhoW        rhoB        vlin           b  USA-AK_Adj     CAS_Adj  phi_s2s_g1  phi_s2s_g2  phi_s2s_g3          e1          e2          e3
    pga   8.200000    4.231460   -1.450000   -0.004300    3.210000    0.044000    3.210000    0.007000    0.837440    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.040000    0.040000    0.000000    0.001500    0.000700    0.003600   -0.000400    0.002500    0.000600    0.003300    3.778310    3.346760    3.802520    5.036120    4.627150    4.804440    3.566910    0.000000   -0.029000    0.325000    0.137000    1.000000    1.000000  865.100000   -1.186000    0.487221    0.827631    0.396000    0.396000    0.545000    0.550000   -0.270000    0.050000
  0.010   8.200000    4.231460   -1.450000   -0.004300    3.210000    0.044000    3.210000    0.007000    0.837440    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.040000    0.040000    0.000000    0.001500    0.000700    0.003600   -0.000400    0.002500    0.000600    0.003300    3.778310    3.346760    3.802520    5.036120    4.627150    4.804440    3.566910    0.000000   -0.029000    0.325000    0.137000    1.000000    1.000000  865.100000   -1.186000    0.487221    0.827631    0.396000    0.396000    0.545000    0.550000   -0.270000    0.050000
  0.020   8.200000    4.313005   -1.450000   -0.004300    3.210000    0.044000    3.210000    0.007000    0.899782    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.040000    0.040000    0.000000    0.001500    0.000600    0.003600   -0.000500    0.002500    0.000500    0.003300    3.828050    3.440080    3.905320    5.137490    4.695780    4.894250    3.642490    0.000000   -0.024000    0.325000    0.137000    0.990000    0.990000  865.100000   -1.219000    0.518993    0.825354    0.396000    0.396000    0.545000    0.550000   -0.270000    0.050000
  0.030   8.200000    4.412425   -1.450000   -0.004400    3.210000    0.044000    3.210000    0.007000    0.962124    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.040000    0.040000    0.000000    0.001500    0.000600    0.003700   -0.000700    0.002500    0.000500    0.003400    3.893270    3.508710    4.018920    5.269860    4.780920    5.002770    3.706330    0.000000   -0.034000    0.325000    0.137000    0.990000    0.990000  907.800000   -1.273000    0.543041    0.833871    0.396000    0.396000    0.545000    0.550000   -0.270000    0.050000
  0.050   8.200000    4.685226   -1.450000   -0.004600    3.210000    0.044000    3.210000    0.007000    1.086808    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.040000    0.040000    0.000000    0.001100    0.000600    0.003900   -0.000900    0.002600    0.000400    0.003600    4.286700    3.655260    4.295200    5.615690    5.021050    5.281850    3.918430    0.000000   -0.061000    0.325000    0.137000    0.970000    0.985000 1053.500000   -1.346000    0.434604    0.895171    0.396000    0.467000    0.644000    0.560000   -0.270000    0.050000
  0.075   8.200000    4.998929   -1.450000   -0.004700    3.210000    0.044000    3.210000    0.007000    1.242663    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.060000    0.060000    0.000000    0.001100    0.000400    0.003900   -0.000900    0.002600    0.000300    0.003700    4.594020    3.979850    4.546360    6.020410    5.347400    5.612290    4.220720    0.000000   -0.076000    0.325000    0.137000    0.950000    0.980000 1085.700000   -1.471000    0.409907    0.863145    0.396000    0.516000    0.713000    0.580000   -0.270000    0.050000
  0.100   8.200000    5.122073   -1.450000   -0.004800    3.210000    0.044000    3.210000    0.007000    1.464206    0.000000   -0.460000    0.090000    0.000000   -0.200000    0.000000    0.000000    0.100000    0.100000    0.000000    0.001200    0.000300    0.003900   -0.000800    0.002600    0.000300    0.003800    4.707730    4.131200    4.613780    6.162540    5.506510    5.766760    4.353560    0.000000   -0.049000    0.325000    0.137000    0.920000    0.970000 1032.500000   -1.624000    0.396663    0.841819    0.396000    0.516000    0.713000    0.590000   -0.270000    0.050000
  0.150   8.200000    5.026701   -1.425000   -0.004700    3.210000    0.044000    3.210000    0.007000    1.469199    0.000000   -0.460000    0.090000    0.000000   -0.186000    0.000000   -0.055000    0.135000    0.135000    0.069000    0.001300   -0.000200    0.003700   -0.000900    0.002200    0.000100    0.003700    4.606500    4.273720    4.528970    5.961410    5.518040    5.731300    4.366410    0.000000   -0.026000    0.325000    0.137000    0.900000    0.960000  877.600000   -1.931000    0.428249    0.736665    0.396000    0.516000    0.647000    0.590000   -0.270000    0.050000
  0.200   8.200000    4.560296   -1.335000   -0.004500    3.210000    0.043000    3.210000    0.006200    1.705369    0.000000   -0.460000    0.084120    0.000000   -0.150000    0.000000   -0.105000    0.170000    0.170000    0.140000    0.001300   -0.000700    0.003100   -0.001000    0.001800   -0.000100    0.003500    4.186600    3.965020    4.165600    5.392020    5.166800    5.294260    4.016850    0.000000   -0.011000    0.325000    0.137000    0.870000    0.940000  748.200000   -2.188000    0.441502    0.746068    0.396000    0.516000    0.596000    0.570000   -0.270000    0.050000
  0.250   8.200000    4.239528   -1.275000   -0.004300    3.210000    0.042000    3.210000    0.005600    1.842621    0.000000   -0.460000    0.080380    0.000000   -0.140000    0.000000   -0.134000    0.170000    0.170000    0.164000    0.001300   -0.000900    0.002700   -0.001100    0.001550   -0.000300    0.003300    3.851470    3.682080    3.914710    5.011680    4.874360    5.005790    3.759040    0.101000   -0.009000    0.325000    0.137000    0.840000    0.930000  654.300000   -2.381000    0.493708    0.796017    0.396000    0.501000    0.539000    0.530000   -0.224000    0.043000
