    IMT         c0          c1          c2          c3          c4          c5          c6          c7          c9         c10         c11         c12         c13         c14         c15         c16         c17         c18         c19         c20        Dc20          a2          h1          h2          h3          h5          h6          k1          k2          k3        phi1        phi2        tau1        tau2        phiC      rholny
    pgv  -2.895000    1.510000    0.270000   -1.299000   -0.453000   -2.466000    0.204000    5.837000   -0.168000    0.305000    1.232085    2.602000    2.457000    0.106000    0.332000    0.585000    0.051700    0.032700    0.006130   -0.001700    0.000000    0.596000    0.117000    1.616000   -0.733000   -0.128000   -0.756000  400.000000   -1.955000    1.929000    0.655000    0.494000    0.317000    0.297000    0.190000    0.684000
    pga  -4.416000    0.984000    0.537000   -1.499000   -0.496000   -2.773000    0.248000    6.768000   -0.212000    0.720000    0.957867    2.186000    1.420000   -0.006400   -0.202000    0.393000    0.097700    0.033300    0.007570   -0.005500    0.000000    0.167000    0.241000    1.474000   -0.715000   -0.337000   -0.270000  865.000000   -1.186000    1.839000    0.734000    0.492000    0.409000    0.322000    0.166000    1.000000
  0.010  -4.365000    0.977000    0.533000   -1.485000   -0.499000   -2.773000    0.248000    6.753000   -0.214000    0.720000    1.094000    2.191000    1.416000   -0.007000   -0.207000    0.390000    0.098100    0.033400    0.007550   -0.005500    0.000000    0.168000    0.242000    1.471000   -0.714000   -0.336000   -0.270000  865.000000   -1.186000    1.839000    0.734000    0.492000    0.404000    0.325000    0.166000    1.000000
  0.020  -4.348000    0.976000    0.549000   -1.488000   -0.501000   -2.772000    0.247000    6.502000   -0.208000    0.730000    1.149000    2.189000    1.453000   -0.016700   -0.199000    0.387000    0.100900    0.032700    0.007590   -0.005500    0.000000    0.166000    0.244000    1.467000   -0.711000   -0.339000   -0.263000  865.000000   -1.219000    1.840000    0.738000    0.496000    0.417000    0.326000    0.166000    0.998000
  0.030  -4.024000    0.931000    0.628000   -1.494000   -0.517000   -2.782000    0.246000    6.291000   -0.213000    0.759000    1.290000    2.164000    1.476000   -0.042200   -0.202000    0.378000    0.109500    0.033100    0.007900   -0.005700    0.000000    0.167000    0.246000    1.467000   -0.713000   -0.338000   -0.259000  908.000000   -1.273000    1.841000    0.747000    0.503000    0.446000    0.344000    0.165000    0.986000
  0.050  -3.479000    0.887000    0.674000   -1.388000   -0.615000   -2.791000    0.240000    6.317000   -0.244000    0.826000    1.256414    2.138000    1.549000   -0.066300   -0.339000    0.295000    0.122600    0.027000    0.008030   -0.006300    0.000000    0.173000    0.251000    1.449000   -0.701000   -0.338000   -0.263000 1054.000000   -1.346000    1.843000    0.777000    0.520000    0.508000    0.377000    0.162000    0.938000
  0.075  -3.293000    0.902000    0.726000   -1.469000   -0.596000   -2.745000    0.227000    6.861000   -0.266000    0.815000    1.290439    2.446000    1.772000   -0.079400   -0.404000    0.322000    0.116500    0.028800    0.008110   -0.007000    0.000000    0.198000    0.260000    1.435000   -0.695000   -0.347000   -0.219000 1086.000000   -1.471000    1.845000    0.782000    0.535000    0.504000    0.418000    0.158000    0.887000
  0.100  -3.666000    0.993000    0.698000   -1.572000   -0.536000   -2.633000    0.210000    7.294000   -0.229000    0.831000    1.349152    2.969000    1.916000   -0.029400   -0.416000    0.384000    0.099800    0.032500    0.007440   -0.007300    0.000000    0.174000    0.259000    1.449000   -0.708000   -0.391000   -0.201000 1032.000000   -1.624000    1.847000    0.769000    0.543000    0.445000    0.426000    0.170000    0.870000
  0.150  -4.866000    1.267000    0.510000   -1.669000   -0.490000   -2.458000    0.183000    8.031000   -0.211000    0.749000    1.567701    3.544000    2.161000    0.064200   -0.407000    0.417000    0.076000    0.038800    0.007160   -0.006900    0.000000    0.198000    0.254000    1.461000   -0.715000   -0.449000   -0.099000  878.000000   -1.931000    1.852000    0.769000    0.543000    0.382000    0.387000    0.180000    0.876000
  0.200  -5.411000    1.366000    0.447000   -1.750000   -0.451000   -2.421000    0.182000    8.385000   -0.163000    0.764000    1.719237    3.707000    2.465000    0.096800   -0.311000    0.404000    0.057100    0.043700    0.006880   -0.006000    0.000000    0.204000    0.237000    1.484000   -0.721000   -0.393000   -0.198000  748.000000   -2.188000    1.856000    0.761000    0.552000    0.339000    0.338000    0.186000    0.870000
