    IMT         c1          m1          m2          r1          r2          r3          sB          sC          sD          bV       bV800          VA          fN          fR         fSS           f           t           s          tM          sM
    pgv   0.086932    0.548224   -0.031947   -2.845779    0.240674    6.516967    0.191928    0.370620    0.497802   -0.761225   -0.759680  883.956541   -0.143331    0.018463    0.004990    0.239894    0.221300    0.326378    0.214940    0.322100
    pga  -2.696174    0.523745   -0.060945   -3.801904    0.355081   11.641556    0.210699    0.282511    0.282885   -0.651502   -0.702438 2319.185978   -0.024112    0.072463   -0.056317    0.258923    0.221451    0.340707    0.216222    0.337332
  0.010  -2.696174    0.523745   -0.060945   -3.801904    0.355081   11.641556    0.210699    0.282511    0.282885   -0.651502   -0.702438 2319.185978   -0.024112    0.072463   -0.056317    0.258923    0.221451    0.340707    0.216222    0.337332
  0.020  -2.319569    0.645368   -0.071883   -3.864488    0.359320   12.135006    0.199238    0.265756    0.259783   -0.594748   -0.669742 2528.805033   -0.027226    0.077085   -0.058996    0.259270    0.226641    0.344365    0.220831    0.340569
  0.030  -1.794357    0.698271   -0.079564   -4.044348    0.376516   13.315456    0.178115    0.231598    0.215282   -0.537994   -0.619142 3228.418629   -0.033334    0.083593   -0.062051    0.261036    0.232938    0.349857    0.226218    0.345419
  0.050  -0.673897    0.703828   -0.087551   -4.415534    0.414031   15.963409    0.167853    0.186334    0.139286   -0.424486   -0.563950 30552.327167   -0.038996    0.096030   -0.070678    0.270257    0.242362    0.363013    0.233774    0.357336
  0.075   0.159812    0.670553   -0.088399   -4.537844    0.423053   17.761952    0.186871    0.177983    0.101794   -0.282601   -0.563738 28753.813185   -0.047493    0.103603   -0.074355    0.282958    0.247668    0.376050    0.237771    0.369605
  0.100   0.175935    0.670156   -0.084249   -4.298967    0.395015   16.949940    0.198226    0.200411    0.131300   -0.256284   -0.592372 36597.560045   -0.028299    0.100568   -0.079951    0.286487    0.243337    0.375883    0.234328    0.370114
  0.150  -0.093956    0.633112   -0.071908   -3.869706    0.352721   13.755380    0.248911    0.301878    0.253194   -0.532467   -0.754946 5440.352064   -0.029997    0.096287   -0.076255    0.288855    0.236926    0.373592    0.228272    0.368165
  0.200  -0.474743    0.639415   -0.062562   -3.415433    0.301005   11.453463    0.282139    0.405893    0.369090   -0.798275   -0.894436 1898.285702   -0.003671    0.069340   -0.063391    0.293254    0.215972    0.364200    0.211246    0.361418
  0.250  -0.631015    0.646475   -0.057825   -3.196414    0.282163    9.362281    0.247318    0.408714    0.409128   -0.885617   -0.886958 1202.643887   -0.023048    0.063599   -0.051793    0.295783    0.200574    0.357376    0.196077    0.354872
  0.300  -0.773674    0.665109   -0.056093   -3.093886    0.273517    8.293517    0.209650    0.400125    0.433553   -0.972353   -0.854566  967.925554   -0.018000    0.050875   -0.041766    0.295590    0.199081    0.356379    0.196154    0.354753
  0.400  -1.244905    0.747706   -0.056269   -2.885288    0.253678    6.211992    0.185823    0.410733    0.520995   -0.929655   -0.853033  794.553221    0.000410    0.040389   -0.038492    0.298779    0.206858    0.363399    0.205174    0.362443
  0.500  -1.603633    0.826034   -0.060097   -2.793761    0.248354    5.202113    0.191207    0.416380    0.616380   -0.750656   -0.876124  747.106341    0.008676    0.028132   -0.029786    0.298825    0.217138    0.369385    0.216338    0.368915
  0.750  -2.253317    1.061271   -0.076144   -2.841194    0.258367    5.051397    0.168096    0.403210    0.708055   -0.538008   -0.857972  675.697944    0.023929    0.007439   -0.016168    0.295158    0.229700    0.374006    0.229428    0.373838
  1.000  -2.712864    1.213482   -0.085428   -2.854380    0.259370    4.978085    0.157672    0.390333    0.693263   -0.484748   -0.824804  678.612270    0.034474   -0.005436   -0.008297    0.296318    0.230750    0.375566    0.230261    0.375266
  1.500  -3.036730    1.370331   -0.095341   -2.987208    0.272340    6.099303    0.127979    0.369585    0.604549   -0.480788   -0.720263  676.464800    0.032228   -0.015373    0.001653    0.293957    0.233701    0.375536    0.233067    0.375142
  2.000  -3.669388    1.656299   -0.115415   -3.044215    0.264181    8.974651    0.105875    0.325667    0.535116   -0.438126   -0.634228  641.122337   -0.016240   -0.001997    0.008097    0.290642    0.225701    0.367986    0.225588    0.367917
  3.000  -3.895885    1.727693   -0.115581   -2.992312    0.252381   11.838603    0.108196    0.296849    0.498370   -0.340293   -0.554751  643.300461   -0.043466    0.011534    0.006250    0.281258    0.232451    0.364883    0.231553    0.364312
  4.000  -3.753071    1.689094   -0.112884   -3.122466    0.282279   12.754316    0.111989    0.281736    0.453438   -0.343680   -0.493985  651.485061   -0.058304    0.009272    0.014544    0.271307    0.240732    0.362711    0.239300    0.361762
  5.000  -3.416035    1.565327   -0.100789   -3.135520    0.288242   14.209650    0.094816    0.246433    0.401112   -0.341049   -0.417461  628.304181   -0.065124    0.002315    0.023725    0.265289    0.241604    0.358819    0.239908    0.357679
  7.500  -3.787769    1.549117   -0.093759   -2.901222    0.276308   12.670789    0.076790    0.210083    0.344764   -0.319573   -0.333077  629.530212   -0.040384   -0.026984    0.040454    0.250629    0.244643    0.350235    0.243363    0.349343
 10.000  -3.697021    1.455887   -0.086587   -2.831418    0.281961    9.512596    0.080652    0.204016    0.336116   -0.284118   -0.332186  644.709992   -0.030452   -0.039189    0.047221    0.235894    0.243125    0.338757    0.241425    0.337538
