    IMT         c1         c1a         c1b         c1c         c1d          cn          cm          c2          c3          c4         c4a         crb          c5         chm          c6          c7         c7b          c8         c8a         c8b          c9         c9a         c9b         c11        c11b         cg1         cg2         cg3        phi1        phi2        phi3        phi4        phi5        phi6       gjpit         gwn      phi1jp      phi5jp      phi6jp        tau1        tau2        sig1        sig2        sig3      sig2jp
    pgv   2.354900    0.165000   -0.062600   -0.165000    0.062600    3.302400    5.423000    1.060000    2.315200   -2.100000   -0.500000   50.000000    5.809600    3.051400    0.440700    0.032400    0.009700    0.215400    0.269500    5.000000    0.307900    0.100000    6.500000    0.000000   -0.383400   -0.001852   -0.007403    4.343900   -0.486706   -0.069900   -0.008444    5.410000    0.020200  300.000000    2.230600    0.335000   -0.796600    0.948800  800.000000    0.389400    0.257800    0.478500    0.362900    0.750400    0.391800
    pga  -1.506500    0.165000   -0.255000   -0.165000    0.255000   16.087500    4.999300    1.060000    1.963600   -2.100000   -0.500000   50.000000    6.455100    3.095600    0.490800    0.035200    0.046200    0.000000    0.269500    0.483300    0.922800    0.120200    6.860700    0.000000   -0.453600   -0.007146   -0.006758    4.254200   -0.442757   -0.141700   -0.007010    0.102151    0.000000  300.000000    1.581700    0.759400   -0.684600    0.459000  800.000000    0.400000    0.260000    0.491200    0.376200    0.800000    0.452800
  0.010  -1.506500    0.165000   -0.255000   -0.165000    0.255000   16.087500    4.999300    1.060000    1.963600   -2.100000   -0.500000   50.000000    6.455100    3.095600    0.490800    0.035200    0.046200    0.000000    0.269500    0.483300    0.922800    0.120200    6.860700    0.000000   -0.453600   -0.007146   -0.006758    4.254200   -0.521000   -0.141700   -0.007010    0.102151    0.000000  300.000000    1.581700    0.759400   -0.684600    0.459000  800.000000    0.400000    0.260000    0.491200    0.376200    0.800000    0.452800
  0.020  -1.479800    0.165000   -0.255000   -0.165000    0.255000   15.711800    4.999300    1.060000    1.963600   -2.100000   -0.500000   50.000000    6.455100    3.096300    0.492500    0.035200    0.047200    0.000000    0.269500    1.214400    0.929600    0.121700    6.869700    0.000000   -0.453600   -0.007249   -0.006758    4.238600   -0.505500   -0.136400   -0.007279    0.108360    0.000000  300.000000    1.574000    0.760600   -0.668100    0.458000  800.000000    0.402600    0.263700    0.490400    0.376200    0.800000    0.455100
  0.030  -1.297200    0.165000   -0.255000   -0.165000    0.255000   15.881900    4.999300    1.060000    1.963600   -2.100000   -0.500000   50.000000    6.455100    3.097400    0.499200    0.035200    0.053300    0.000000    0.269500    1.642100    0.939600    0.119400    6.911300    0.000000   -0.453600   -0.007869   -0.006758    4.251900   -0.436800   -0.140300   -0.007354    0.119888    0.000000  300.000000    1.554400    0.764200   -0.631400    0.462000  800.000000    0.406300    0.268900    0.498800    0.384900    0.800000    0.457100
  0.050  -0.929200    0.165000   -0.255000   -0.165000    0.255000   17.645300    4.999300    1.060000    1.963600   -2.100000   -0.500000   50.000000    6.455100    3.101100    0.504800    0.035200    0.063900    0.000000    0.269500    2.181000    0.979400    0.117600    7.095900    0.000000   -0.453600   -0.008743   -0.006758    4.357800   -0.328750   -0.186200   -0.006467    0.148927    0.000000  300.000000    1.539100    0.773900   -0.545700    0.436000  800.000000    0.412400    0.277700    0.509600    0.395700    0.800000    0.471600
  0.075  -0.658000    0.165000   -0.254000   -0.165000    0.254000   20.177200    5.003100    1.060000    1.963600   -2.100000   -0.500000   50.000000    6.455100    3.109400    0.504800    0.035200    0.063000    0.000000    0.269500    2.608700    1.026000    0.117100    7.329800    0.000000   -0.453600   -0.009537   -0.006190    4.545500   -0.404121   -0.253800   -0.005734    0.190596    0.000000  300.000000    1.480400    0.795600   -0.468500    0.383000  800.000000    0.417900    0.285500    0.517900    0.404300    0.800000    0.502200
  0.100  -0.561300    0.165000   -0.253000   -0.165000    0.253000   19.999200    5.017200    1.060000    1.963600   -2.100000   -0.500000   50.000000    6.830500    3.238100    0.504800    0.035200    0.053200    0.000000    0.269500    2.912200    1.017700    0.114600    7.258800    0.000000   -0.453600   -0.009830   -0.005332    4.760300   -0.481007   -0.294300   -0.005604    0.230662    0.000000  300.000000    1.409400    0.793200   -0.498500    0.375000  800.000000    0.421900    0.291300    0.523600    0.410400    0.800000    0.523000
  0.150  -0.546200    0.165000   -0.250000   -0.165000    0.250000   16.624600    5.054700    1.060000    2.036200   -2.100000   -0.500000   50.000000    7.362100    3.430000    0.504500    0.035200    0.034500    0.000000    0.269500    3.339900    0.980100    0.110600    7.210900    0.000000   -0.453600   -0.009896   -0.003806    5.064400   -0.628393   -0.311300   -0.005845    0.266468    0.000000  300.000000    1.324100    0.743700   -0.645100    0.379000  800.000000    0.427500    0.299300    0.530800    0.419100    0.800000    0.530400
  0.200  -0.679800    0.165000   -0.244900   -0.165000    0.244900   13.701200    5.093900    1.060000    2.152100   -2.100000   -0.500000   50.000000    7.497200    3.514600    0.501600    0.035200    0.020200    0.000000    0.269500    3.643400    0.945900    0.120800    7.298800    0.000000   -0.444000   -0.009505   -0.002690    5.188000   -0.748519   -0.292700   -0.006141    0.255253    0.000000  300.000000    1.293100    0.692200   -0.765300    0.384000  800.000000    0.431300    0.304700    0.535100    0.425200    0.800000    0.531200
  0.250  -0.866300    0.165000   -0.238200   -0.165000    0.238200   11.266700    5.131500    1.060000    2.257400   -2.100000   -0.500000   50.000000    7.541600    3.574600    0.497100    0.035200    0.009000    0.000000    0.269500    3.878700    0.919600    0.120800    7.369100    0.000000   -0.353900   -0.008918   -0.002128    5.216400   -0.802441   -0.266200   -0.006439    0.231541    0.000000  300.000000    1.315000    0.657900   -0.846900    0.393000  800.000000    0.434100    0.308700    0.537700    0.429900    0.799900    0.530900
